pincode,city,avg_rainfall,heavy_rain_days,avg_wind_speed,avg_pressure,storm_days,avg_aqi,disruption_frequency_score,cluster,zone_risk_tier
999908,Hyderabad,20.2,0,12.94,1003.36,0,58.06,0.2655682447671995,0,1
950823,Pune,-6.66,0,16.59,1006.67,0,58.5,0.2675640886120083,0,1
699809,Jaipur,8.25,0,14.04,1006.45,0,58.61,0.268049915933837,0,1
946432,Pune,1.99,0,21.85,1011.12,0,58.65,0.2682443196021452,0,1
610271,Pune,15.41,0,19.51,1011.68,1,57.95,0.2696029846618615,0,1
975498,Jaipur,-2.76,0,12.39,1009.25,1,57.95,0.2696166240286279,0,1
499194,Hyderabad,14.54,0,17.55,1012.14,0,59.12,0.2703787383282794,0,1
929504,Hyderabad,-20.98,1,18.31,1010.79,0,57.81,0.2705229191639481,0,1
783823,Jaipur,6.1,0,15.92,1009.91,1,58.27,0.2710841793326008,0,1
156904,Delhi,10.58,1,16.46,1009.97,0,58.07,0.2716827029317029,0,1
163946,Hyderabad,-3.63,0,15.57,1007.05,0,59.69,0.2730011956974118,0,1
923073,Hyderabad,11.43,0,11.93,1012.07,1,59.04,0.2746084854094333,0,1
174441,Pune,-2.03,0,14.15,1013.21,0,60.1,0.2748832966776647,0,1
726962,Jaipur,2.38,0,17.73,1010.16,1,59.22,0.2754248965799579,0,1
142859,Jaipur,2.71,0,20.18,1004.59,0,60.61,0.2772106943722432,0,1
822131,Kolkata,9.75,0,15.0,1011.49,1,59.62,0.2772665097621157,0,1
697347,Jaipur,3.26,0,8.26,1014.21,0,60.7,0.2776263466812553,0,1
148050,Hyderabad,16.17,0,19.5,1013.56,1,59.76,0.2779044224765223,0,1
939503,Hyderabad,8.73,0,16.86,1010.76,0,61.04,0.2791963028127766,0,1
209159,Delhi,11.11,0,19.22,1007.83,0,61.12,0.2795361831963722,0,1
743966,Hyderabad,0.26,0,15.57,1011.58,1,60.19,0.2798575267534385,0,1
638009,Pune,13.28,2,14.09,1010.95,0,58.62,0.2802993517529683,0,1
669578,Jaipur,-1.34,0,14.0,1005.42,4,57.43,0.2809681068119182,0,1
818894,Pune,-0.02,0,14.22,1009.61,1,60.5,0.2813024036064346,0,1
724377,Delhi,-23.72,1,15.5,1004.08,1,59.17,0.2813068160942886,0,1
